scheme_code,scheme_name,isinGrowth,isinDivReinvestment,fund_house,is_direct_plan,is_growth_plan
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,,,Grindlays,False,False
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,,,Grindlays,False,False
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,,,Grindlays,False,True
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,,,Grindlays,False,False
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,,,Grindlays,False,False
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,,,Grindlays,False,True
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,,Aditya,False,True
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5,Aditya,False,False
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),,,Birla,False,False
100036,Birla Sun Life Freedom Fund-Plan B (Growth),,,Birla,False,True
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3,Aditya,False,False
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,,Aditya,False,True
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,,INF209K01KN9,Aditya,False,False
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,Aditya,False,True
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,Aditya,False,True
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,,INF209K01KP4,Aditya,False,False
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,INF209K01SQ5,Aditya,False,False
100047,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,,Aditya,False,True
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,INF209K01KY6,Aditya,False,False
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,,,Aditya,False,False
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,INF209K01KU4,INF209KA1LJ9,Aditya,False,False
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,,,Aditya,False,False
